,0,Breeder ID,Animal ID,Age,Section Key,Breeder ID.1,Animal ID.1,Sex,Age.1,Date of Surgery,Ab,percent_high_cd68,percent_double,percent_double_tmem
B01,0,W(26),F2,P17,B01,W(26),F2,Female,P15,12/8/2022,a-IL34,41.66666667,41.66666667,0
B02,0,W(22),F2,P17,B02,W(22),F2,Female,P15,12/18/2022,a-gp120,0,0,0
B03,8.333333333,W(25),M4,P17,B03,W(25),M4,Male,P15,12/10/2022,a-IL34,66.66666667,41.66666667,0
B04,100,W(26),M1,P17,B04,W(26),M1,Male,P15,12/8/2022,a-gp120,16.66666667,0,75
B06,25,W(26),M3,P17,B06,W(26),M3,Male,P15,12/8/2022,a-CSF1,100,25,0
B08,0,W(22),M3,P17,B08,W(22),M3,Male,P15,12/18/2022,a-IL34,58.33333333,41.66666667,0
B09,25,W(27),M2,P17,B09,W(27),M2,Male,P15,12/20/2022,a-IL34,0,0,8.333333333
B10,16.66666667,W(25),F1,P17,B10,W(25),F1,Female,P15,12/10/2022,a-IL34,33.33333333,25,0
B11,91.66666667,W(22),F3,P17,B11,W(22),F3,Female,P15,12/18/2022,a-CSF1,100,0,0
B12,75,W(22),F1,P17,B12,W(22),F1,Female,P15,12/18/2022,a-gp120,8.333333333,0,75
B13,16.66666667,W(22),M1,P17,B13,W(22),M1,Male,P15,12/18/2022,a-gp120,25,0,8.333333333
B14,16.66666667,W(22),F4,P17,B14,W(22),F4,Female,P15,12/18/2022,a-IL34,25,8.333333333,0
B15,0,W(27),M4,P17,B15,W(27),M4,Male,P15,12/20/2022,a-CSF1,83.33333333,83.33333333,0
B16,25,W(27),M1,P17,B16,W(27),M1,Male,P15,12/20/2022,a-gp120,100,8.333333333,0
B17,0,W(27),M3,P17,B17,W(27),M3,Male,P15,12/20/2022,a-IL34,50,25,0
B19,0,W(26),M2,P17,B19,W(26),M2,Male,P15,12/8/2022,a-IL34,41.66666667,33.33333333,0
B20,16.66666667,W(25),M2,P17,B20,W(25),M2,Male,P15,12/10/2022,a-gp120,25,8.333333333,16.66666667
B21,25,W(22),M4,P17,B21,W(22),M4,Male,P15,12/18/2022,a-IL34,8.333333333,8.333333333,25
B22,41.66666667,W(25),M1,P17,B22,W(25),M1,Male,P15,12/10/2022,a-gp120,16.66666667,0,25
B24,8.333333333,W(28),F1.1,P17,B24,W(28),F1,Female,P15,1/11/2023,a-CSF1,33.33333333,0,8.333333333
B25,58.33333333,W(28),M1.1,P17,B25,W(28),M1,Male,P15,1/11/2023,a-CSF1,16.66666667,0,41.66666667
B26,100,W(25),F1.1,P17,B26,W(25)-3,F1,Female,P15,1/10/2023,a-CSF1,0,0,83.33333333
B27,75,W(28),F3.1,P17,B27,W(28),F3,Female,P15,1/11/2023,a-gp120,0,0,75
B28,33.33333333,W(25),F3.1,P17,B28,W(25)-3,F3,Female,P15,1/10/2023,a-IL34,0,0,33.33333333
B29,100,W(25),F4.1,P17,B29,W(25)-3,F4,Female,P15,1/10/2023,a-gp120,25,0,50
B30,58.33333333,W(25),F2.1,P17,B30,W(25)-3,F2,Female,P15,1/10/2023,a-CSF1,8.333333333,0,50
B32,8.333333333,W(28),F2.1,P17,B32,W(28),F2,Female,P15,1/11/2023,a-IL34,50,33.33333333,0
