,label,animal_id,Cell,image_id,norm_mean_tmem,norm_mean_cd68,tmem_level,cd68_level,Breeder ID,Animal ID,Age,Section Key,Breeder ID.1,Animal ID.1,Sex,Age.1,Date of Surgery,Ab
0,B01_1_MIP.czi:c:3/4 - B01_1_MIP.czi #1,B01,1,1,0.03102263332152961,0.021378634138357493,low,high,W(26),F2,P17,B01,W(26),F2,Female,P15,12/8/2022,a-IL34
1,B01_1_MIP.czi:c:3/4 - B01_1_MIP.czi #1,B01,2,1,0.016873450358929336,0.006128695179031848,low,mid,W(26),F2,P17,B01,W(26),F2,Female,P15,12/8/2022,a-IL34
2,B01_1_MIP.czi:c:3/4 - B01_1_MIP.czi #1,B01,3,1,0.026969749166958698,0.014695977049044018,low,high,W(26),F2,P17,B01,W(26),F2,Female,P15,12/8/2022,a-IL34
3,B01_1_MIP.czi:c:3/4 - B01_1_MIP.czi #1,B01,4,1,0.023199026573408894,0.0208112572584555,low,high,W(26),F2,P17,B01,W(26),F2,Female,P15,12/8/2022,a-IL34
4,B01_2_MIP.czi:c:3/4 - B01_2_MIP.czi #1,B01,1,2,-0.0004641540664343524,0.010044743838584794,low,high,W(26),F2,P17,B01,W(26),F2,Female,P15,12/8/2022,a-IL34
5,B01_2_MIP.czi:c:3/4 - B01_2_MIP.czi #1,B01,2,2,0.026985282543680156,-0.0004918935935778329,low,mid,W(26),F2,P17,B01,W(26),F2,Female,P15,12/8/2022,a-IL34
6,B01_2_MIP.czi:c:3/4 - B01_2_MIP.czi #1,B01,3,2,-0.01747098021368461,0.009651517555202077,low,mid,W(26),F2,P17,B01,W(26),F2,Female,P15,12/8/2022,a-IL34
7,B01_2_MIP.czi:c:3/4 - B01_2_MIP.czi #1,B01,4,2,0.020121640596773543,0.002358450438512655,low,mid,W(26),F2,P17,B01,W(26),F2,Female,P15,12/8/2022,a-IL34
8,B01_3_MIP.czi:c:3/4 - B01_3_MIP.czi #1,B01,1,3,0.045237418075482906,0.005589958658661333,low,mid,W(26),F2,P17,B01,W(26),F2,Female,P15,12/8/2022,a-IL34
9,B01_3_MIP.czi:c:3/4 - B01_3_MIP.czi #1,B01,2,3,0.023409948405148012,0.034838619582104144,low,high,W(26),F2,P17,B01,W(26),F2,Female,P15,12/8/2022,a-IL34
10,B01_3_MIP.czi:c:3/4 - B01_3_MIP.czi #1,B01,3,3,0.018532154804307296,0.007034966720482302,low,mid,W(26),F2,P17,B01,W(26),F2,Female,P15,12/8/2022,a-IL34
11,B01_3_MIP.czi:c:3/4 - B01_3_MIP.czi #1,B01,4,3,0.016203404619770073,0.004105474093845721,low,mid,W(26),F2,P17,B01,W(26),F2,Female,P15,12/8/2022,a-IL34
12,B02_1_MIP.czi:c:3/4 - B02_1_MIP.czi #1,B02,1,1,0.053961392033646444,-0.02908591209450495,mid,low,W(22),F2,P17,B02,W(22),F2,Female,P15,12/18/2022,a-gp120
13,B02_1_MIP.czi:c:3/4 - B02_1_MIP.czi #1,B02,2,1,0.06822274528391656,-0.007691520475710839,mid,low,W(22),F2,P17,B02,W(22),F2,Female,P15,12/18/2022,a-gp120
14,B02_1_MIP.czi:c:3/4 - B02_1_MIP.czi #1,B02,3,1,0.024541295944611186,-0.038161780212163154,low,low,W(22),F2,P17,B02,W(22),F2,Female,P15,12/18/2022,a-gp120
15,B02_1_MIP.czi:c:3/4 - B02_1_MIP.czi #1,B02,4,1,0.08952666437665044,-0.04878271323987203,mid,low,W(22),F2,P17,B02,W(22),F2,Female,P15,12/18/2022,a-gp120
16,B02_2_MIP.czi:c:3/4 - B02_2_MIP.czi #1,B02,1,2,0.00033219645293315614,-0.00648431105047749,low,mid,W(22),F2,P17,B02,W(22),F2,Female,P15,12/18/2022,a-gp120
17,B02_2_MIP.czi:c:3/4 - B02_2_MIP.czi #1,B02,2,2,0.023284295448000814,-0.02194027573341717,low,low,W(22),F2,P17,B02,W(22),F2,Female,P15,12/18/2022,a-gp120
